id	file.speaker.id	text.id	spk.ref	zone	date	sex	age	word.count
349	<S1A-082$D>	S1A-082	D	republic of ireland	1990-1994	female	26-33	20
350	<S1A-082$E>	S1A-082	E	republic of ireland	1990-1994	female	26-33	544
351	<S1A-082$F>	S1A-082	F	republic of ireland	1990-1994	male	26-33	8
352	<S1A-082$G>	S1A-082	G	republic of ireland	1990-1994	female	26-33	493
353	<S1A-083$?>	S1A-083	?	NA	NA	NA	NA	5
354	<S1A-083$A>	S1A-083	A	republic of ireland	1990-1994	male	50+	406
355	<S1A-083$B>	S1A-083	B	republic of ireland	1990-1994	female	50+	938
356	<S1A-083$C>	S1A-083	C	republic of ireland	1990-1994	female	19-25	10
357	<S1A-083$D>	S1A-083	D	republic of ireland	1990-1994	male	50+	267
358	<S1A-083$E>	S1A-083	E	republic of ireland	1990-1994	female	42-49	314
359	<S1A-083$F>	S1A-083	F	republic of ireland	1990-1994	female	19-25	41
360	<S1A-084$A>	S1A-084	A	republic of ireland	1990-1994	female	19-25	243
361	<S1A-084$B>	S1A-084	B	republic of ireland	1990-1994	female	19-25	847
362	<S1A-084$C>	S1A-084	C	republic of ireland	1990-1994	female	19-25	529
363	<S1A-084$D>	S1A-084	D	republic of ireland	1990-1994	female	19-25	419
364	<S1A-085$?>	S1A-085	?	NA	NA	NA	NA	12
365	<S1A-085$A>	S1A-085	A	republic of ireland	1990-1994	female	19-25	1016
366	<S1A-085$B>	S1A-085	B	republic of ireland	1990-1994	female	19-25	515
367	<S1A-085$C>	S1A-085	C	republic of ireland	1990-1994	male	19-25	263
368	<S1A-085$E>	S1A-085	E	republic of ireland	1990-1994	female	19-25	240
369	<S1A-085$F>	S1A-085	F	republic of ireland	1990-1994	female	NA	46
370	<S1A-086$A>	S1A-086	A	republic of ireland	1990-1994	female	19-25	1541
371	<S1A-086$B>	S1A-086	B	republic of ireland	1990-1994	female	19-25	873
372	<S1A-087$A>	S1A-087	A	republic of ireland	1990-1994	female	19-25	590
373	<S1A-087$B>	S1A-087	B	republic of ireland	1990-1994	male	19-25	951
374	<S1A-087$C>	S1A-087	C	republic of ireland	1990-1994	female	19-25	434
375	<S1A-088$?>	S1A-088	?	NA	NA	NA	NA	26
376	<S1A-088$A>	S1A-088	A	republic of ireland	1990-1994	female	19-25	146
377	<S1A-088$B>	S1A-088	B	republic of ireland	1990-1994	female	19-25	281
378	<S1A-088$C>	S1A-088	C	republic of ireland	1990-1994	female	19-25	140
379	<S1A-088$D>	S1A-088	D	republic of ireland	1990-1994	female	19-25	1122
380	<S1A-088$E>	S1A-088	E	republic of ireland	1990-1994	female	19-25	425
381	<S1A-089$A>	S1A-089	A	republic of ireland	1990-1994	male	NA	210
382	<S1A-089$B>	S1A-089	B	republic of ireland	1990-1994	female	19-25	96
383	<S1A-089$C>	S1A-089	C	republic of ireland	1990-1994	female	NA	654
384	<S1A-089$D>	S1A-089	D	republic of ireland	1990-1994	female	NA	907
385	<S1A-089$E>	S1A-089	E	republic of ireland	1990-1994	female	NA	237
386	<S1A-090$?>	S1A-090	?	NA	NA	NA	NA	16
387	<S1A-090$A>	S1A-090	A	republic of ireland	1990-1994	male	NA	7
388	<S1A-090$B>	S1A-090	B	republic of ireland	1990-1994	female	19-25	561
389	<S1A-090$C>	S1A-090	C	republic of ireland	1990-1994	female	NA	123
390	<S1A-090$D>	S1A-090	D	republic of ireland	1990-1994	female	NA	936
391	<S1A-090$E>	S1A-090	E	republic of ireland	1990-1994	female	NA	278
392	<S1A-091$A>	S1A-091	A	northern ireland	2002-2005	female	26-33	390
393	<S1A-091$B>	S1A-091	B	northern ireland	2002-2005	female	26-33	298
394	<S1A-091$C>	S1A-091	C	northern ireland	2002-2005	female	26-33	870
395	<S1A-091$D>	S1A-091	D	northern ireland	2002-2005	female	26-33	605
396	<S1A-092$A>	S1A-092	A	northern ireland	2002-2005	female	26-33	1128
397	<S1A-092$B>	S1A-092	B	northern ireland	2002-2005	female	26-33	769
398	<S1A-093$A>	S1A-093	A	northern ireland	2002-2005	female	26-33	847
399	<S1A-093$B>	S1A-093	B	northern ireland	2002-2005	male	34-41	1164
400	<S1A-094$A>	S1A-094	A	mixed between ni and roi	2002-2005	female	26-33	1419
401	<S1A-094$B>	S1A-094	B	northern ireland	2002-2005	female	26-33	503
402	<S1A-095$A>	S1A-095	A	northern ireland	2002-2005	female	26-33	1189
403	<S1A-095$B>	S1A-095	B	northern ireland	2002-2005	female	19-25	775
404	<S1A-096$A>	S1A-096	A	republic of ireland	2002-2005	female	50+	1151
405	<S1A-096$B>	S1A-096	B	republic of ireland	2002-2005	female	50+	756
406	<S1A-097$A>	S1A-097	A	republic of ireland	2002-2005	female	50+	1462
407	<S1A-097$B>	S1A-097	B	republic of ireland	2002-2005	female	50+	669
408	<S1A-098$A>	S1A-098	A	mixed between ni and roi	2002-2005	female	26-33	978
409	<S1A-098$B>	S1A-098	B	republic of ireland	2002-2005	female	19-25	989
410	<S1A-099$A>	S1A-099	A	republic of ireland	2002-2005	female	19-25	1187
411	<S1A-099$B>	S1A-099	B	republic of ireland	2002-2005	female	19-25	724
412	<S1A-100$A>	S1A-100	A	republic of ireland	2002-2005	female	19-25	1043
413	<S1A-100$B>	S1A-100	B	republic of ireland	2002-2005	male	19-25	973
414	<S1B-001$?>	S1B-001	?	NA	NA	NA	NA	1
415	<S1B-001$A>	S1B-001	A	northern ireland	2002-2005	female	50+	2076
416	<S1B-001$B>	S1B-001	B	northern ireland	2002-2005	male	19-25	18
417	<S1B-001$C>	S1B-001	C	northern ireland	2002-2005	female	26-33	41
418	<S1B-001$D>	S1B-001	D	non-corpus speaker	2002-2005	female	19-25	0
419	<S1B-001$E>	S1B-001	E	mixed between ni and roi	2002-2005	female	19-25	0
420	<S1B-001$F>	S1B-001	F	northern ireland	2002-2005	male	19-25	43
421	<S1B-001$G>	S1B-001	G	northern ireland	2002-2005	female	19-25	22
422	<S1B-001$H?>	S1B-001	H?	NA	NA	NA	NA	46
423	<S1B-001$H>	S1B-001	H	northern ireland	2002-2005	female	19-25	15
424	<S1B-001$I>	S1B-001	I	non-corpus speaker	2002-2005	male	19-25	0
425	<S1B-002$A>	S1B-002	A	northern ireland	1990-1994	female	NA	973
426	<S1B-002$B>	S1B-002	B	northern ireland	1990-1994	male	42-49	1137
427	<S1B-003$?>	S1B-003	?	NA	NA	NA	NA	1
428	<S1B-003$A>	S1B-003	A	northern ireland	2002-2005	male	42-49	1215
429	<S1B-003$B>	S1B-003	B	northern ireland	2002-2005	female	42-49	388
430	<S1B-003$C>	S1B-003	C	northern ireland	2002-2005	female	50+	65
431	<S1B-003$D>	S1B-003	D	northern ireland	2002-2005	female	34-41	237
432	<S1B-003$E>	S1B-003	E	non-corpus speaker	2002-2005	female	19-25	0
433	<S1B-004$?>	S1B-004	?	NA	NA	NA	NA	2
434	<S1B-004$A>	S1B-004	A	northern ireland	2002-2005	female	42-49	1522
435	<S1B-004$B>	S1B-004	B	non-corpus speaker	2002-2005	female	19-25	0
436	<S1B-004$C?>	S1B-004	C?	NA	NA	NA	NA	14
437	<S1B-004$C>	S1B-004	C	northern ireland	2002-2005	female	19-25	34
438	<S1B-004$D>	S1B-004	D	northern ireland	2002-2005	female	34-41	173
439	<S1B-004$E>	S1B-004	E	non-corpus speaker	2002-2005	male	19-25	0
440	<S1B-004$F>	S1B-004	F	northern ireland	2002-2005	female	34-41	13
441	<S1B-004$G>	S1B-004	G	northern ireland	2002-2005	male	26-33	25
442	<S1B-004$H?>	S1B-004	H?	NA	NA	NA	NA	8
443	<S1B-004$H>	S1B-004	H	northern ireland	2002-2005	female	19-25	128
444	<S1B-005$?>	S1B-005	?	NA	NA	NA	NA	0
445	<S1B-005$A>	S1B-005	A	northern ireland	2002-2005	female	42-49	315
446	<S1B-005$B>	S1B-005	B	northern ireland	2002-2005	male	42-49	1232
447	<S1B-005$C>	S1B-005	C	northern ireland	2002-2005	female	50+	7
448	<S1B-005$D>	S1B-005	D	northern ireland	2002-2005	female	34-41	90
449	<S1B-006$A>	S1B-006	A	northern ireland	2002-2005	female	19-25	1183
450	<S1B-006$B>	S1B-006	B	northern ireland	2002-2005	male	19-25	548
451	<S1B-006$C>	S1B-006	C	non-corpus speaker	2002-2005	female	19-25	0
452	<S1B-006$D>	S1B-006	D	northern ireland	2002-2005	female	26-33	91
453	<S1B-006$E>	S1B-006	E	northern ireland	2002-2005	male	19-25	29
454	<S1B-006$F>	S1B-006	F	northern ireland	2002-2005	female	19-25	52
455	<S1B-006$G>	S1B-006	G	northern ireland	2002-2005	female	19-25	9
456	<S1B-007$?>	S1B-007	?	NA	NA	NA	NA	22
457	<S1B-007$A>	S1B-007	A	northern ireland	2002-2005	male	26-33	1736
458	<S1B-007$B>	S1B-007	B	northern ireland	2002-2005	female	19-25	2
459	<S1B-007$C>	S1B-007	C	northern ireland	2002-2005	female	19-25	43
460	<S1B-007$D>	S1B-007	D	northern ireland	2002-2005	male	50+	33
461	<S1B-007$E?>	S1B-007	E?	NA	NA	NA	NA	90
462	<S1B-007$E>	S1B-007	E	northern ireland	2002-2005	male	19-25	155
463	<S1B-007$F>	S1B-007	F	northern ireland	2002-2005	male	19-25	100
464	<S1B-007$G>	S1B-007	G	northern ireland	2002-2005	female	26-33	41
465	<S1B-007$H>	S1B-007	H	northern ireland	2002-2005	female	26-33	19
466	<S1B-008$?>	S1B-008	?	NA	NA	NA	NA	18
467	<S1B-008$A>	S1B-008	A	northern ireland	2002-2005	female	50+	1787
468	<S1B-008$B?>	S1B-008	B?	NA	NA	NA	NA	48
469	<S1B-008$B>	S1B-008	B	northern ireland	2002-2005	female	42-49	246
470	<S1B-008$C>	S1B-008	C	northern ireland	2002-2005	female	50+	15
471	<S1B-008$D>	S1B-008	D	northern ireland	2002-2005	female	50+	18
472	<S1B-008$E>	S1B-008	E	northern ireland	2002-2005	female	50+	54
473	<S1B-009$?>	S1B-009	?	NA	NA	NA	NA	68
474	<S1B-009$A>	S1B-009	A	northern ireland	2002-2005	male	50+	1778
475	<S1B-009$B>	S1B-009	B	northern ireland	2002-2005	female	42-49	93
476	<S1B-009$C>	S1B-009	C	northern ireland	2002-2005	male	50+	7
477	<S1B-009$D>	S1B-009	D	northern ireland	2002-2005	female	26-33	6
478	<S1B-009$E>	S1B-009	E	northern ireland	2002-2005	female	42-49	38
479	<S1B-009$F>	S1B-009	F	northern ireland	2002-2005	female	42-49	20
480	<S1B-009$G>	S1B-009	G	northern ireland	2002-2005	female	34-41	4
481	<S1B-009$H>	S1B-009	H	northern ireland	2002-2005	male	26-33	16
482	<S1B-009$I>	S1B-009	I	northern ireland	2002-2005	female	26-33	4
483	<S1B-009$J?>	S1B-009	J?	NA	NA	NA	NA	29
484	<S1B-009$J>	S1B-009	J	northern ireland	2002-2005	female	50+	33
485	<S1B-010$A>	S1B-010	A	northern ireland	2002-2005	male	26-33	1986
486	<S1B-010$B>	S1B-010	B	northern ireland	2002-2005	female	26-33	65
487	<S1B-010$C>	S1B-010	C	northern ireland	2002-2005	male	19-25	66
488	<S1B-010$D>	S1B-010	D	northern ireland	2002-2005	male	19-25	11
489	<S1B-010$E>	S1B-010	E	northern ireland	2002-2005	female	19-25	5
490	<S1B-010$F>	S1B-010	F	northern ireland	2002-2005	male	50+	10
491	<S1B-011$A>	S1B-011	A	republic of ireland	1990-1994	male	26-33	1514
492	<S1B-011$C>	S1B-011	C	republic of ireland	1990-1994	female	19-25	2
493	<S1B-011$D>	S1B-011	D	republic of ireland	1990-1994	female	19-25	4
494	<S1B-011$E>	S1B-011	E	republic of ireland	1990-1994	female	19-25	10
495	<S1B-011$F>	S1B-011	F	republic of ireland	1990-1994	female	19-25	32
496	<S1B-012$A>	S1B-012	A	republic of ireland	1990-1994	male	26-33	1115
497	<S1B-012$B>	S1B-012	B	republic of ireland	1990-1994	female	19-25	149
498	<S1B-012$C>	S1B-012	C	republic of ireland	1990-1994	female	19-25	156
499	<S1B-012$D>	S1B-012	D	republic of ireland	1990-1994	male	19-25	253
500	<S1B-012$E>	S1B-012	E	republic of ireland	1990-1994	female	19-25	185
501	<S1B-013$A>	S1B-013	A	republic of ireland	1990-1994	male	50+	1480
502	<S1B-013$B>	S1B-013	B	republic of ireland	1990-1994	male	19-25	1
503	<S1B-013$C>	S1B-013	C	republic of ireland	1990-1994	male	19-25	266
504	<S1B-013$D>	S1B-013	D	republic of ireland	1990-1994	male	19-25	406
505	<S1B-013$E>	S1B-013	E	republic of ireland	1990-1994	male	19-25	22
506	<S1B-013$F>	S1B-013	F	republic of ireland	1990-1994	female	19-25	127
507	<S1B-013$G>	S1B-013	G	non-corpus speaker	1990-1994	male	34-41	0
508	<S1B-013$H>	S1B-013	H	republic of ireland	1990-1994	male	19-25	27
509	<S1B-014$A>	S1B-014	A	republic of ireland	1990-1994	male	19-25	269
510	<S1B-014$B>	S1B-014	B	republic of ireland	1990-1994	male	50+	1465
511	<S1B-014$C>	S1B-014	C	republic of ireland	1990-1994	female	19-25	65
512	<S1B-014$D>	S1B-014	D	republic of ireland	1990-1994	male	19-25	68
513	<S1B-014$E>	S1B-014	E	republic of ireland	1990-1994	male	19-25	95
514	<S1B-015$?>	S1B-015	?	NA	NA	NA	NA	198
515	<S1B-015$A>	S1B-015	A	republic of ireland	1990-1994	male	NA	1719
516	<S1B-015$B>	S1B-015	B	republic of ireland	1990-1994	female	NA	20
517	<S1B-015$C>	S1B-015	C	republic of ireland	1990-1994	female	NA	86
518	<S1B-015$D>	S1B-015	D	republic of ireland	1990-1994	female	NA	91
519	<S1B-015$E>	S1B-015	E	republic of ireland	1990-1994	female	NA	28
520	<S1B-016$?>	S1B-016	?	NA	NA	NA	NA	77
521	<S1B-016$A>	S1B-016	A	republic of ireland	1990-1994	male	NA	1947
522	<S1B-016$B?>	S1B-016	B?	NA	NA	NA	NA	36
523	<S1B-016$B>	S1B-016	B	republic of ireland	1990-1994	female	NA	55
524	<S1B-016$C?>	S1B-016	C?	NA	NA	NA	NA	47
525	<S1B-016$C>	S1B-016	C	republic of ireland	1990-1994	female	NA	68
526	<S1B-016$D>	S1B-016	D	republic of ireland	1990-1994	female	NA	8
527	<S1B-016$E>	S1B-016	E	republic of ireland	1990-1994	female	NA	32
528	<S1B-017$?>	S1B-017	?	NA	NA	NA	NA	18
529	<S1B-017$A>	S1B-017	A	republic of ireland	2002-2005	female	34-41	847
530	<S1B-017$B>	S1B-017	B	republic of ireland	2002-2005	female	19-25	208
531	<S1B-017$C>	S1B-017	C	mixed between ni and roi	2002-2005	female	19-25	255
532	<S1B-017$D>	S1B-017	D	republic of ireland	2002-2005	female	19-25	545
533	<S1B-018$?>	S1B-018	?	NA	NA	NA	NA	5
534	<S1B-018$A>	S1B-018	A	republic of ireland	2002-2005	female	34-41	1398
535	<S1B-018$B>	S1B-018	B	republic of ireland	2002-2005	female	19-25	205
536	<S1B-018$C>	S1B-018	C	mixed between ni and roi	2002-2005	female	19-25	189
537	<S1B-018$D>	S1B-018	D	republic of ireland	2002-2005	female	19-25	169
538	<S1B-019$A>	S1B-019	A	republic of ireland	1990-1994	female	42-49	1789
539	<S1B-019$B>	S1B-019	B	republic of ireland	1990-1994	female	19-25	316
540	<S1B-019$C>	S1B-019	C	republic of ireland	1990-1994	female	19-25	172
541	<S1B-019$D>	S1B-019	D	republic of ireland	1990-1994	female	19-25	139
542	<S1B-020$A>	S1B-020	A	republic of ireland	2002-2005	male	50+	144
543	<S1B-020$B>	S1B-020	B	republic of ireland	2002-2005	female	19-25	1779
544	<S1B-020$C>	S1B-020	C	non-corpus speaker	2002-2005	male	19-25	0
545	<S1B-020$D>	S1B-020	D	republic of ireland	2002-2005	male	19-25	10
546	<S1B-020$E>	S1B-020	E	non-corpus speaker	2002-2005	female	19-25	0
547	<S1B-020$F>	S1B-020	F	republic of ireland	2002-2005	male	19-25	7
548	<S1B-020$G>	S1B-020	G	republic of ireland	2002-2005	male	19-25	12
549	<S1B-021$A>	S1B-021	A	northern ireland	1990-1994	male	34-41	435
550	<S1B-021$B>	S1B-021	B	mixed between ni and roi	1990-1994	male	42-49	563
551	<S1B-021$C>	S1B-021	C	northern ireland	1990-1994	male	NA	558
552	<S1B-021$D>	S1B-021	D	northern ireland	1990-1994	male	42-49	664
553	<S1B-022$A>	S1B-022	A	northern ireland	1990-1994	male	50+	687
554	<S1B-022$B>	S1B-022	B	northern ireland	1990-1994	male	34-41	221
555	<S1B-022$C>	S1B-022	C	northern ireland	1990-1994	male	NA	93
556	<S1B-022$D>	S1B-022	D	northern ireland	1990-1994	male	NA	93
557	<S1B-022$E>	S1B-022	E	northern ireland	1990-1994	female	19-25	237
558	<S1B-022$F>	S1B-022	F	northern ireland	1990-1994	male	NA	121
559	<S1B-022$G>	S1B-022	G	northern ireland	1990-1994	male	NA	246
560	<S1B-022$H>	S1B-022	H	northern ireland	1990-1994	female	26-33	168
561	<S1B-022$I>	S1B-022	I	northern ireland	1990-1994	male	NA	116
562	<S1B-023$A>	S1B-023	A	northern ireland	1990-1994	male	NA	621
563	<S1B-023$B>	S1B-023	B	northern ireland	1990-1994	male	42-49	265
564	<S1B-023$C>	S1B-023	C	northern ireland	1990-1994	male	42-49	193
565	<S1B-023$D>	S1B-023	D	northern ireland	1990-1994	female	34-41	102
566	<S1B-023$E>	S1B-023	E	northern ireland	1990-1994	male	26-33	104
567	<S1B-023$F>	S1B-023	F	northern ireland	1990-1994	male	50+	185
568	<S1B-023$G>	S1B-023	G	mixed between ni and roi	1990-1994	male	50+	573
569	<S1B-024$?>	S1B-024	?	NA	NA	NA	NA	1
570	<S1B-024$A>	S1B-024	A	northern ireland	1990-1994	male	34-41	422
571	<S1B-024$B>	S1B-024	B	northern ireland	1990-1994	male	50+	342
572	<S1B-024$C>	S1B-024	C	northern ireland	1990-1994	male	NA	491
573	<S1B-024$D>	S1B-024	D	northern ireland	1990-1994	male	34-41	725
574	<S1B-025$?>	S1B-025	?	NA	NA	NA	NA	6
575	<S1B-025$A>	S1B-025	A	northern ireland	1990-1994	male	NA	679
576	<S1B-025$B>	S1B-025	B	northern ireland	1990-1994	female	NA	43
577	<S1B-025$C>	S1B-025	C	northern ireland	1990-1994	male	NA	227
578	<S1B-025$D>	S1B-025	D	northern ireland	1990-1994	male	NA	60
579	<S1B-025$E>	S1B-025	E	non-corpus speaker	1990-1994	male	NA	0
580	<S1B-025$F>	S1B-025	F	northern ireland	1990-1994	male	NA	39
581	<S1B-025$G>	S1B-025	G	northern ireland	1990-1994	male	NA	68
582	<S1B-025$H>	S1B-025	H	northern ireland	1990-1994	female	42-49	149
583	<S1B-025$I>	S1B-025	I	non-corpus speaker	1990-1994	male	NA	0
584	<S1B-025$J>	S1B-025	J	northern ireland	1990-1994	male	42-49	61
585	<S1B-025$K>	S1B-025	K	northern ireland	1990-1994	male	NA	89
586	<S1B-025$L>	S1B-025	L	non-corpus speaker	1990-1994	female	NA	0
587	<S1B-025$M>	S1B-025	M	non-corpus speaker	1990-1994	male	50+	0
588	<S1B-025$N>	S1B-025	N	non-corpus speaker	1990-1994	female	NA	0
589	<S1B-025$O>	S1B-025	O	northern ireland	1990-1994	male	NA	97
590	<S1B-025$P>	S1B-025	P	northern ireland	1990-1994	male	NA	107
591	<S1B-025$Q>	S1B-025	Q	northern ireland	1990-1994	female	NA	60
592	<S1B-025$R>	S1B-025	R	non-corpus speaker	1990-1994	male	NA	38
593	<S1B-026$A>	S1B-026	A	mixed between ni and roi	1990-1994	male	34-41	567
594	<S1B-026$B>	S1B-026	B	northern ireland	1990-1994	male	42-49	558
595	<S1B-026$C>	S1B-026	C	northern ireland	1990-1994	male	NA	568
596	<S1B-026$D>	S1B-026	D	non-corpus speaker	1990-1994	male	NA	0
597	<S1B-027$A>	S1B-027	A	northern ireland	1990-1994	male	50+	579
598	<S1B-027$B>	S1B-027	B	northern ireland	1990-1994	male	42-49	332
599	<S1B-027$C>	S1B-027	C	northern ireland	1990-1994	male	42-49	1184
600	<S1B-028$A>	S1B-028	A	northern ireland	1990-1994	male	50+	744
601	<S1B-028$B>	S1B-028	B	northern ireland	1990-1994	male	50+	56
602	<S1B-028$C>	S1B-028	C	northern ireland	1990-1994	male	NA	88
603	<S1B-028$D>	S1B-028	D	mixed between ni and roi	1990-1994	male	50+	213
604	<S1B-028$E>	S1B-028	E	northern ireland	1990-1994	male	42-49	72
605	<S1B-028$F>	S1B-028	F	non-corpus speaker	1990-1994	male	NA	0
606	<S1B-028$G>	S1B-028	G	northern ireland	1990-1994	male	NA	57
607	<S1B-028$H>	S1B-028	H	northern ireland	1990-1994	male	NA	190
608	<S1B-028$I>	S1B-028	I	northern ireland	1990-1994	female	NA	68
609	<S1B-028$J>	S1B-028	J	northern ireland	1990-1994	male	NA	199
610	<S1B-028$K>	S1B-028	K	northern ireland	1990-1994	male	NA	194
611	<S1B-028$L>	S1B-028	L	northern ireland	1990-1994	male	NA	139
612	<S1B-029$A>	S1B-029	A	northern ireland	1990-1994	male	50+	537
613	<S1B-029$B>	S1B-029	B	northern ireland	1990-1994	male	NA	354
614	<S1B-029$C>	S1B-029	C	northern ireland	1990-1994	male	42-49	178
615	<S1B-029$D>	S1B-029	D	northern ireland	1990-1994	male	26-33	211
616	<S1B-029$E>	S1B-029	E	mixed between ni and roi	1990-1994	male	42-49	273
617	<S1B-029$F>	S1B-029	F	northern ireland	1990-1994	male	NA	498
618	<S1B-030$?>	S1B-030	?	NA	NA	NA	NA	1
619	<S1B-030$A>	S1B-030	A	northern ireland	1990-1994	male	34-41	474
620	<S1B-030$B>	S1B-030	B	northern ireland	1990-1994	male	50+	823
621	<S1B-030$C>	S1B-030	C	northern ireland	1990-1994	male	50+	470
622	<S1B-030$D>	S1B-030	D	northern ireland	1990-1994	male	42-49	261
623	<S1B-030$E>	S1B-030	E	republic of ireland	1990-1994	male	42-49	134
624	<S1B-031$A>	S1B-031	A	republic of ireland	1990-1994	male	34-41	369
625	<S1B-031$B>	S1B-031	B	republic of ireland	1990-1994	male	42-49	550
626	<S1B-031$C>	S1B-031	C	republic of ireland	1990-1994	female	42-49	466
627	<S1B-031$D>	S1B-031	D	republic of ireland	1990-1994	male	NA	227
628	<S1B-032$A>	S1B-032	A	republic of ireland	1990-1994	male	50+	334
629	<S1B-032$B>	S1B-032	B	republic of ireland	1990-1994	male	50+	300
630	<S1B-032$C>	S1B-032	C	republic of ireland	1990-1994	female	42-49	425
631	<S1B-032$D>	S1B-032	D	republic of ireland	1990-1994	male	50+	832
632	<S1B-032$E>	S1B-032	E	republic of ireland	1990-1994	male	NA	72
633	<S1B-032$F>	S1B-032	F	republic of ireland	1990-1994	male	NA	100
634	<S1B-032$G>	S1B-032	G	republic of ireland	1990-1994	male	NA	124
635	<S1B-033$A>	S1B-033	A	republic of ireland	1990-1994	male	50+	365
636	<S1B-033$B>	S1B-033	B	republic of ireland	1990-1994	male	NA	35
637	<S1B-033$C>	S1B-033	C	republic of ireland	1990-1994	male	NA	98
638	<S1B-033$D>	S1B-033	D	republic of ireland	1990-1994	male	NA	52
639	<S1B-033$E>	S1B-033	E	republic of ireland	1990-1994	male	NA	393
640	<S1B-033$F>	S1B-033	F	republic of ireland	1990-1994	male	42-49	23
641	<S1B-033$G>	S1B-033	G	republic of ireland	1990-1994	male	NA	23
642	<S1B-033$H>	S1B-033	H	republic of ireland	1990-1994	male	50+	311
643	<S1B-033$I>	S1B-033	I	republic of ireland	1990-1994	male	50+	459
644	<S1B-033$J>	S1B-033	J	republic of ireland	1990-1994	female	42-49	323
645	<S1B-034$A>	S1B-034	A	republic of ireland	1990-1994	male	50+	260
646	<S1B-034$B>	S1B-034	B	republic of ireland	1990-1994	male	50+	263
647	<S1B-034$C>	S1B-034	C	republic of ireland	1990-1994	male	NA	88
648	<S1B-034$D>	S1B-034	D	republic of ireland	1990-1994	male	NA	93
649	<S1B-034$E>	S1B-034	E	republic of ireland	1990-1994	male	NA	50
650	<S1B-034$F>	S1B-034	F	mixed between ni and roi	1990-1994	female	50+	208
651	<S1B-034$G>	S1B-034	G	republic of ireland	1990-1994	male	34-41	549
652	<S1B-034$H>	S1B-034	H	republic of ireland	1990-1994	male	50+	421
653	<S1B-034$I>	S1B-034	I	republic of ireland	1990-1994	female	NA	17
654	<S1B-035$?>	S1B-035	?	NA	NA	NA	NA	8
655	<S1B-035$A>	S1B-035	A	republic of ireland	1990-1994	male	NA	155
656	<S1B-035$B>	S1B-035	B	republic of ireland	1990-1994	male	NA	161
657	<S1B-035$C>	S1B-035	C	republic of ireland	1990-1994	male	NA	238
658	<S1B-035$D>	S1B-035	D	republic of ireland	1990-1994	male	NA	710
659	<S1B-035$E>	S1B-035	E	republic of ireland	1990-1994	male	NA	600
660	<S1B-036$?>	S1B-036	?	NA	NA	NA	NA	0
661	<S1B-036$A>	S1B-036	A	republic of ireland	2002-2005	male	50+	653
662	<S1B-036$B>	S1B-036	B	republic of ireland	2002-2005	male	NA	310
663	<S1B-036$C>	S1B-036	C	republic of ireland	2002-2005	female	26-33	207
664	<S1B-036$D>	S1B-036	D	republic of ireland	2002-2005	female	42-49	242
665	<S1B-036$E>	S1B-036	E	non-corpus speaker	2002-2005	male	NA	0
666	<S1B-036$F>	S1B-036	F	republic of ireland	2002-2005	male	50+	430
667	<S1B-036$G>	S1B-036	G	non-corpus speaker	2002-2005	male	50+	0
668	<S1B-036$H>	S1B-036	H	republic of ireland	2002-2005	male	NA	18
669	<S1B-037$A>	S1B-037	A	republic of ireland	2002-2005	male	50+	573
670	<S1B-037$B>	S1B-037	B	republic of ireland	2002-2005	female	NA	507
671	<S1B-037$C>	S1B-037	C	non-corpus speaker	2002-2005	male	NA	0
672	<S1B-037$D>	S1B-037	D	republic of ireland	2002-2005	female	34-41	309
673	<S1B-037$E>	S1B-037	E	republic of ireland	2002-2005	male	50+	579
674	<S1B-038$A>	S1B-038	A	republic of ireland	2002-2005	male	50+	223
675	<S1B-038$B>	S1B-038	B	republic of ireland	2002-2005	male	50+	199
676	<S1B-038$C>	S1B-038	C	republic of ireland	2002-2005	male	42-49	268
677	<S1B-038$D>	S1B-038	D	republic of ireland	2002-2005	female	NA	439
678	<S1B-038$E>	S1B-038	E	republic of ireland	2002-2005	female	42-49	234
679	<S1B-038$F>	S1B-038	F	republic of ireland	2002-2005	male	NA	399
680	<S1B-038$G>	S1B-038	G	republic of ireland	2002-2005	male	NA	275
681	<S1B-039$A>	S1B-039	A	republic of ireland	1990-1994	male	NA	561
682	<S1B-039$B>	S1B-039	B	republic of ireland	1990-1994	male	50+	247
683	<S1B-039$C>	S1B-039	C	mixed between ni and roi	1990-1994	female	50+	793
684	<S1B-039$D>	S1B-039	D	republic of ireland	1990-1994	male	34-41	474
685	<S1B-039$E>	S1B-039	E	republic of ireland	1990-1994	male	NA	92
686	<S1B-040$A>	S1B-040	A	republic of ireland	1990-1994	male	NA	435
687	<S1B-040$B>	S1B-040	B	republic of ireland	1990-1994	male	NA	260
688	<S1B-040$C>	S1B-040	C	republic of ireland	1990-1994	male	NA	886
689	<S1B-040$D>	S1B-040	D	republic of ireland	1990-1994	male	NA	328
690	<S1B-040$E>	S1B-040	E	republic of ireland	1990-1994	male	NA	304
691	<S1B-041$A>	S1B-041	A	northern ireland	1990-1994	male	NA	453
692	<S1B-041$B>	S1B-041	B	mixed between ni and roi	1990-1994	female	50+	1632
693	<S1B-042$A>	S1B-042	A	northern ireland	1990-1994	male	34-41	670
694	<S1B-042$B>	S1B-042	B	northern ireland	1990-1994	male	50+	1244
695	<S1B-042$C>	S1B-042	C	northern ireland	1990-1994	male	NA	144
696	<S1B-043$A>	S1B-043	A	northern ireland	1990-1994	male	34-41	477
